Algorithm,Mode,k,CId,Precision,Recall,F1
Knn,g,1,1,1,0.982143,0.990991
Knn,g,1,2,0.9,0.885246,0.892562
Knn,g,1,3,1,1,1
Knn,g,1,4,0.862745,0.897959,0.88
Knn,g,1,5,0.981132,1,0.990476
Knn,g,1,6,1,1,1
Knn,g,3,1,1,0.955357,0.977169
Knn,g,3,2,0.945455,0.852459,0.896552
Knn,g,3,3,1,1,1
Knn,g,3,4,0.810345,0.959184,0.878505
Knn,g,3,5,0.962963,1,0.981132
Knn,g,3,6,1,1,1
Knn,g,8,1,1,0.973214,0.986425
Knn,g,8,2,0.963636,0.868852,0.913793
Knn,g,8,3,1,1,1
Knn,g,8,4,0.857143,0.979592,0.914286
Knn,g,8,5,0.981132,1,0.990476
Knn,g,8,6,0.952381,1,0.97561
Knn,l,1,1,1,0.982143,0.990991
Knn,l,1,2,0.9,0.885246,0.892562
Knn,l,1,3,1,1,1
Knn,l,1,4,0.862745,0.897959,0.88
Knn,l,1,5,0.981132,1,0.990476
Knn,l,1,6,1,1,1
Knn,l,3,1,1,0.955357,0.977169
Knn,l,3,2,0.945455,0.852459,0.896552
Knn,l,3,3,1,1,1
Knn,l,3,4,0.810345,0.959184,0.878505
Knn,l,3,5,0.962963,1,0.981132
Knn,l,3,6,1,1,1
Knn,l,8,1,1,0.973214,0.986425
Knn,l,8,2,0.963636,0.868852,0.913793
Knn,l,8,3,1,1,1
Knn,l,8,4,0.857143,0.979592,0.914286
Knn,l,8,5,0.981132,1,0.990476
Knn,l,8,6,0.952381,1,0.97561
Ria,g,3,1,0.990991,0.982143,0.986547
Ria,g,3,2,0.927273,0.836066,0.87931
Ria,g,3,3,0.972973,1,0.986301
Ria,g,3,4,0.897959,0.897959,0.897959
Ria,g,3,5,0.962963,1,0.981132
Ria,g,3,6,0.869565,1,0.930233
Ria,l,3,1,0.990991,0.982143,0.986547
Ria,l,3,2,0.927273,0.836066,0.87931
Ria,l,3,3,0.972973,1,0.986301
Ria,l,3,4,0.897959,0.897959,0.897959
Ria,l,3,5,0.962963,1,0.981132
Ria,l,3,6,0.869565,1,0.930233
Riona,g,1,1,1,0.982143,0.990991
Riona,g,1,2,0.9,0.885246,0.892562
Riona,g,1,3,1,1,1
Riona,g,1,4,0.862745,0.897959,0.88
Riona,g,1,5,0.981132,1,0.990476
Riona,g,1,6,1,1,1
Riona,g,3,1,1,0.955357,0.977169
Riona,g,3,2,0.945455,0.852459,0.896552
Riona,g,3,3,1,1,1
Riona,g,3,4,0.810345,0.959184,0.878505
Riona,g,3,5,0.962963,1,0.981132
Riona,g,3,6,1,1,1
Riona,g,8,1,1,0.973214,0.986425
Riona,g,8,2,0.963636,0.868852,0.913793
Riona,g,8,3,1,1,1
Riona,g,8,4,0.857143,0.979592,0.914286
Riona,g,8,5,0.981132,1,0.990476
Riona,g,8,6,0.952381,1,0.97561
Riona,l,1,1,1,0.982143,0.990991
Riona,l,1,2,0.9,0.885246,0.892562
Riona,l,1,3,1,1,1
Riona,l,1,4,0.862745,0.897959,0.88
Riona,l,1,5,0.981132,1,0.990476
Riona,l,1,6,1,1,1
Riona,l,3,1,1,0.955357,0.977169
Riona,l,3,2,0.945455,0.852459,0.896552
Riona,l,3,3,1,1,1
Riona,l,3,4,0.810345,0.959184,0.878505
Riona,l,3,5,0.962963,1,0.981132
Riona,l,3,6,1,1,1
Riona,l,8,1,1,0.973214,0.986425
Riona,l,8,2,0.963636,0.868852,0.913793
Riona,l,8,3,1,1,1
Riona,l,8,4,0.857143,0.979592,0.914286
Riona,l,8,5,0.981132,1,0.990476
Riona,l,8,6,0.952381,1,0.97561
